fid,State,County,geoid20,countyfips,centroid_zip_code,statefp20,countyfp20,tractce20,blockce20,name20,mtfcc20,funcstat20,aland20,awater20,intptlat20,intptlon20,pop20,ur20,uace20,uatype20,housing20,hex_esri_date,oz,len_meters,len_feet,len_miles,hh_linear_mile,sq_miles,hh_sq_mile,frac_urban20,is_urban20,num_block_groups,acs_households_est,acs_median_income_est,acs_date,auction_903_funding,auction_904_funding,fcc_bpt_pr,tr_cpf,fcc_caf_usvi,ntia_bip,ntia_tribal,usda_commcon,usda_reconnect,usda_rd_tl,nc_great,auction_903_funding_pct,auction_904_funding_pct,fcc_bpt_pr_pct,tr_cpf_pct,fcc_caf_usvi_pct,ntia_bip_pct,ntia_tribal_pct,usda_commcon_pct,usda_reconnect_pct,usda_rd_tl_pct,nc_great_pct,federal_funding,state_funding,any_funding,hex_info_date,num_locations,business_residential_codes,technology_codes,provider_ids,low_latencies,min_download,max_download,min_upload,max_upload,served_10_1,served_25_3,served_100_20,served_100_100,served_1000_100,served_1000_1000,len_miles_full,sq_miles_full,funding_source,served_10_1_pct,served_25_3_pct,served_100_20_pct,Unnamed: 83,served_100_100_pct,served_1000_100_pct,served_1000_1000_pct,served_10_1_flag,served_25_3_flag,served_100_20_flag,served_100_100_flag,served_1000_100_flag,served_1000_1000_flag,unserved_10_1_flag,unserved_25_3_flag,unserved_100_20_flag,unserved_100_100_flag,unserved_1000_100_flag,unserved_1000_1000_flag,served_10_1_group,served_25_3_group,served_100_20_group,served_100_100_group,served_1000_100_group,served_1000_1000_group,fully_served_10_1_flag,fully_served_25_3_flag,fully_served_100_20_flag,fully_served_100_100_flag,fully_served_1000_100_flag,fully_served_1000_1000_flag,partially_served_10_1_flag,partially_served_25_3_flag,partially_served_100_20_flag,partially_served_100_100_flag,partially_served_1000_100_flag,partially_served_1000_1000_flag,poorly_served_10_1_flag,poorly_served_25_3_flag,poorly_served_100_20_flag,poorly_served_100_100_flag,poorly_served_1000_100_flag,poorly_served_1000_1000_flag,fiber_density_group,wireless_density_group,group_order,Unserved_100_20_households
735,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,2,0,0,1300,4268,0,2,0,7,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
736,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,7,0,0,1606,5271,0,7,0,27,0,0,2,12,75437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7
737,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,8,0,0,3304,10840,2,3,0,30,0,0,2,11,75299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,8
738,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,7,0,0,1548,5078,0,7,0,27,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,1500,1500,1500,1,1,1,1,1,1,0,0,0,0,0,0,6,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
739,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,2,0,0,1987,6521,1,1,0,7,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
740,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,10,0,0,1662,5453,1,9,0,38,0,0,2,9,74458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1500,1500,1500,1500,3,3,3,3,3,3,1,0,0,0,0,0,7,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7
741,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,13,0,0,1772,5815,1,11,0,50,0,0,2,7,72937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,13
742,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,4,0,0,819,2687,0,7,0,15,0,0,2,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,1500,1500,1500,1,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
743,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,22,0,0,3173,10413,1,11,0,85,0,0,2,14,72221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1500,1500,1500,1500,13,13,13,13,13,13,1,0,0,0,0,0,9,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,8
744,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,6,0,0,2614,8579,1,3,0,23,0,0,2,28,51896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,6
745,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,1,0,0,1752,5748,1,0,0,3,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
746,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,22,0,0,1125,3692,0,31,0,85,0,0,1,11,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,1500,1500,1500,1500,15,15,15,15,15,15,0,0,0,0,0,0,7,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,6
747,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,9,0,0,2565,8416,1,5,0,34,0,0,2,4,81980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,9
748,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,3,0,0,1488,4883,0,3,0,11,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,1500,1500,1500,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
749,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,27,0,0,3234,10611,2,13,0,104,0,0,2,4,84046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,27
750,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,10,0,0,1084,3556,0,14,0,38,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,10
751,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,2,0,0,1579,5182,0,2,0,7,0,0,1,4,89519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
752,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,3,0,0,1394,4576,0,3,0,11,0,0,2,4,71433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
753,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,10,0,0,2880,9452,1,5,0,38,0,0,1,4,89519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,10
754,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,9,0,0,1557,5108,0,9,0,34,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,9
755,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,8,0,0,1545,5070,0,8,0,30,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,8
756,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,9,0,0,1178,3867,0,12,0,34,0,0,2,4,70607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1500,1500,1500,1500,2,2,2,2,2,2,0,0,0,0,0,0,7,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7
757,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,15,0,0,1523,4997,0,15,0,58,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,15
758,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,9,0,0,112,368,0,129,0,34,0,0,1,3,68958,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,9
759,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,13,0,0,2366,7765,1,8,0,50,0,0,3,5,80216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,13
760,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,24,0,0,1816,5958,1,21,0,92,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,24
761,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,1,0,0,564,1852,0,2,0,3,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1200,1200,35,35,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
762,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,5,0,0,815,2674,0,9,0,19,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1200,1200,35,35,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
763,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,5,0,0,358,1176,0,22,0,19,0,0,1,13,75833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
764,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,5,0,0,554,1820,0,14,0,19,0,0,2,13,75821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
765,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,16,0,0,176,580,0,145,0,62,0,1,1,7,66250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,1200,1200,35,35,15,15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
766,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,12,0,0,1412,4635,0,13,0,46,0,0,1,7,66250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1200,1200,35,35,9,9,9,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
767,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,43,0,0,2213,7261,1,31,0,166,0,1,2,9,69094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,1200,1200,35,35,40,40,40,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
768,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,96,0,0,2093,6867,1,73,0,372,0,1,2,12,78348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,1,1200,1200,35,35,96,96,96,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
769,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,4,0,0,283,930,0,22,0,15,0,0,1,7,66250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
770,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,9,0,0,1551,5091,0,9,0,34,0,0,1,7,66250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,9
771,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,32,0,0,2417,7930,1,21,0,123,0,0,3,9,69289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1200,1200,35,35,10,10,10,0,0,0,1,0,0,0,0,0,22,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,22
772,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,128,0,0,4798,15742,2,42,0,495,0,1,2,22,57204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,1,1200,1500,35,1500,124,124,124,32,32,32,2,0,0,0,0,0,4,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
773,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,17,0,0,1870,6135,1,14,0,65,0,1,1,28,51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1200,1200,35,35,12,12,12,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,4
774,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,1,0,0,913,2996,0,1,0,3,0,1,1,23,51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1200,1200,35,35,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
775,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,13,0,0,1073,3522,0,19,0,50,0,0,2,20,59927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,13
776,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,7,0,0,625,2051,0,18,0,27,0,0,2,15,69658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7
777,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,6,0,0,618,2029,0,15,0,23,0,0,1,29,51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1200,1200,35,35,6,6,6,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
778,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,83,0,0,3189,10466,1,41,0,321,0,1,2,50,88733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,1,1200,1500,35,1500,83,83,83,15,15,15,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
779,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,146,0,0,7403,24291,4,31,0,565,0,1,2,24,86064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,1,1200,1500,35,1500,151,151,151,1,1,1,4,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
780,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,229,0,0,9081,29796,5,40,0,887,0,1,4,36,80437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,1,1200,1500,35,1500,238,238,238,58,58,58,5,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
781,0,0,0,41009,97048,41,9,0,0,0,0,0,0,0,46,-122,0,0,0,0,164,0,0,5974,19601,3,44,0,635,0,1,2,16,83302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,1,1200,1500,35,1500,159,159,159,49,49,49,3,0,0,0,0,0,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
